SF: 12, BW: 41700 Hz, CR: 4/7, T_payload: 147.338129 ms
SF: 12, BW: 41700 Hz, CR: 4/8, T_payload: 157.160671 ms
SF: 12, BW: 62500 Hz, CR: 4/5, T_payload: 85.196800 ms
SF: 12, BW: 62500 Hz, CR: 4/6, T_payload: 91.750400 ms
SF: 12, BW: 62500 Hz, CR: 4/7, T_payload: 98.304000 ms
SF: 12, BW: 62500 Hz, CR: 4/8, T_payload: 104.857600 ms
SF: 12, BW: 125000 Hz, CR: 4/5, T_payload: 42.598400 ms
SF: 12, BW: 125000 Hz, CR: 4/6, T_payload: 45.875200 ms
SF: 12, BW: 125000 Hz, CR: 4/7, T_payload: 49.152000 ms
SF: 12, BW: 125000 Hz, CR: 4/8, T_payload: 52.428800 ms
SF: 12, BW: 250000 Hz, CR: 4/5, T_payload: 21.299200 ms
SF: 12, BW: 250000 Hz, CR: 4/6, T_payload: 22.937600 ms
SF: 12, BW: 250000 Hz, CR: 4/7, T_payload: 24.576000 ms
SF: 12, BW: 250000 Hz, CR: 4/8, T_payload: 26.214400 ms
SF: 12, BW: 500000 Hz, CR: 4/5, T_payload: 10.649600 ms
SF: 12, BW: 500000 Hz, CR: 4/6, T_payload: 11.468800 ms
SF: 12, BW: 500000 Hz, CR: 4/7, T_payload: 12.288000 ms
SF: 12, BW: 500000 Hz, CR: 4/8, T_payload: 13.107200 ms
